"","dt-time","Activity","Immediate.Spread","Focal","Subgroup"
"596",2014-11-18 09:30:00,"MOVING/","<50/","DAO","DUK/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/DOC/DIC/"
"597",2014-11-18 09:45:00,"FORAGING/","<50/","DAO","DUK/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/DOC/DIC/"
"598",2014-11-18 10:00:00,"FORAGING/","<50/","DAO","DUK/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/DOC/DIC/"
"599",2014-11-18 10:15:00,"FORAGING/","<50/","DAO","DUK/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/DOC/DIC/"
"600",2014-11-18 10:30:00,"FORAGING/","<50/","DAO","DUK/DAR/DIY/DIT/OLV/OLI/DAH/DAN/DLL/DLF/DOC/DIC/"
"601",2014-11-18 10:45:00,"MOVING/FORAGING/","<50/","DLL","DLF/OLV/OLI/DIY/DIT/DAH/DAN/DAR/DAO/DOC/DUK/DIG/DAS/DIC/"
"602",2014-11-18 11:00:00,"FORAGING/","<50/","DLL","DLF/OLV/OLI/DIY/DIT/DAH/DAN/DAR/DAO/DOC/DUK/DIG/DAS/DIC/"
"603",2014-11-18 11:15:00,"FORAGING/","<50/","DLL","DLF/OLV/OLI/DIY/DIT/DAH/DAN/DAR/DAO/DOC/DUK/DIG/DAS/DIC/"
"604",2014-11-18 11:30:00,"FORAGING/","<50/","DLL","DLF/OLV/OLI/DIY/DIT/DAH/DAN/DAR/DAO/DOC/DUK/DIG/DAS/DIC/"
"605",2014-11-18 11:45:00,"FORAGING/","<50/","DLL","DLF/OLV/OLI/DIY/DIT/DAH/DAN/DAR/DAO/DOC/DUK/DIG/DAS/DIC/"
"606",2014-11-18 12:00:00,"FORAGING/","<75/","DLL","DLF/OLV/OLI/DIY/DIT/DAH/DAN/DAR/DAO/DOC/DUK/DIG/DAS/DIC/"
"607",2014-11-18 12:15:00,"FORAGING/","<75/","DLL","DLF/OLV/OLI/DIY/DIT/DAH/DAN/DAR/DAO/DOC/DUK/DIG/DAS/DIC/"
"608",2014-11-18 12:30:00,"MOVING/FORAGING/","<75/","DLL","DLF/OLV/OLI/DIY/DIT/DAH/DAN/DAR/DAO/DOC/DUK/DIG/DAS/DIC/"
